(31-03-2025 | 09:19:06) [kkkqkkkkk] -> $server infection.fun
(31-03-2025 | 09:19:16) [kkkqkkkkk] -> $nick Rx5
(31-03-2025 | 09:19:20) [kkkqkkkkk] -> $friends ipforwarding
(31-03-2025 | 09:19:32) [kkkqkkkkk] -> $server mc.hycraft.us
(31-03-2025 | 09:20:42) [efiw] -> $server hypixel.net
(31-03-2025 | 09:21:18) [kkkqkkkkk] -> $server hypixel.net
(31-03-2025 | 09:23:06) [@kkkqkkkkk] -> $server mc.universocraft.com
(31-03-2025 | 09:23:06) [@kkkqkkkkk] -> $nick notch
(31-03-2025 | 09:33:29) [@kkkqkkkkk] -> $server mc.universocraft.com
(31-03-2025 | 09:34:34) [@kkkqkkkkk] -> $server infection.fun
(31-03-2025 | 09:34:34) [@kkkqkkkkk] -> $server mc.hycraft.us
(31-03-2025 | 09:34:34) [@kkkqkkkkk] -> $server mc.universocraft.com
